"abbreviation","code","state","year","homicide.rates","state.gdp.capita","state.gdp.growth.percent","gini","population.projection","population.extreme.poverty","years.schooling","gini.imp","population.extreme.poverty.imp","years.schooling.imp","proportion.extreme.poverty","population.projection.ln"
"ES",32,"Espírito Santo",2002,51.1913626209966,17.0885280941,7.0795656311,0.5802355174,3295622,248170,6.0285053302,0.5802355174,248170,6.0285053302,0.0753029321930731,15.0081054789687
"ES",32,"Espírito Santo",2003,50.4583557037257,17.0376139329,1.428204875,0.5571657004,3346440,255169,6.1654526715,0.5571657004,255169,6.1654526715,0.0762508815338091,15.0234076521824
"ES",32,"Espírito Santo",2004,49.415787161664,17.693139282,5.6140521166,0.5492547347,3397224,191603,6.5640561967,0.5492547347,191603,6.5640561967,0.0563998723663791,15.0384691855045
"ES",32,"Espírito Santo",2005,46.9433979978648,18.1338684187,4.2136342361,0.5581903814,3447900,210703,6.8335072367,0.5581903814,210703,6.8335072367,0.0611105310478842,15.053275908025
"ES",32,"Espírito Santo",2006,51.2083318900274,19.2140744899,7.6952444487,0.5366934306,3498381,154527,6.7817690099,0.5366934306,154527,6.7817690099,0.0441710036728418,15.0678108480119
"ES",32,"Espírito Santo",2007,53.5555181787605,21.4164618852,7.8389780971,0.5260604527,3548614,123603,6.9713197075,0.5260604527,123603,6.9713197075,0.0348313454210573,15.0820676626817
"ES",32,"Espírito Santo",2008,56.4041268826418,22.3992680313,7.7712625099,0.5209855911,3598524,124365,6.9516497205,0.5209855911,124365,6.9516497205,0.0345600029345365,15.0960343193534
"ES",32,"Espírito Santo",2009,56.465354819798,20.6905117036,-6.7312598762,0.5316176427,3648075,122359,7.1625705877,0.5316176427,122359,7.1625705877,0.033540702973486,15.1097101891755
"GO",52,"Goiás",1990,16.8421266874083,11.1470073868,0.0111460865,0.6117536682,3999473,618052,4.4149433265,0.6117536682,618052,4.4149433265,0.15453335977015,15.2016731604044
"GO",52,"Goiás",1991,20.1796360847765,11.2039309628,2.3821251309,NA,4073206,NA,NA,0.5994842751,561395.5,4.57384553365,0.137826444329111,15.2199409623219
"GO",52,"Goiás",1992,19.0071409414747,11.0574563657,1.8516533595,0.587214882,4180857,504739,4.7327477408,0.587214882,504739,4.7327477408,0.120726205177551,15.2460268074099
"GO",52,"Goiás",1993,16.7085819543945,11.5024229008,6.4259512115,0.5935047925,4287901,488172,4.8508452659,0.5935047925,488172,4.8508452659,0.113848710592898,15.2713078937797
"GO",52,"Goiás",1994,17.3318971046573,11.5558264926,2.7085733807,NA,4395236,NA,NA,0.5748170701,476545.5,4.85725921785,0.108423188197403,15.2960317850432
"GO",52,"Goiás",1995,16.9663001930443,11.5187377268,1.8365151264,0.5561293477,4502511,464919,4.8636731698,0.5561293477,464919,4.8636731698,0.103257715528069,15.3201457991164
"GO",52,"Goiás",1996,15.6147320678234,11.578657072,2.639901416,0.5844054122,4609970,376955,5.0709123196,0.5844054122,376955,5.0709123196,0.0817695125998651,15.3437319073595
"GO",52,"Goiás",1997,14.8499892450845,11.8932970314,4.8318156179,0.5497095454,4717800,362615,5.2432929131,0.5497095454,362615,5.2432929131,0.07686103692399,15.3668531472077
"GO",52,"Goiás",1998,13.1529218984239,11.8022273656,1.1927420314,0.5774609779,4826316,340523,5.3157931041,0.5774609779,340523,5.3157931041,0.0705554712952902,15.3895940016808
"GO",52,"Goiás",1999,16.4990670808657,11.6898133397,1.7472526293,0.5594739499,4936113,423515,5.3766962118,0.5594739499,423515,5.3766962118,0.0857992918719648,15.4120887373361
"GO",52,"Goiás",2000,20.1469931012589,12.0131469004,5.0097392291,NA,5075596,NA,NA,0.56311981965,414873.5,5.5104336277,0.0817388736219352,15.4399545144204
"GO",52,"Goiás",2001,21.2454276888367,12.1528450862,3.3378928026,0.5667656894,5193467,406232,5.6441710436,0.5667656894,406232,5.6441710436,0.0782198096185072,15.4629120475333
"GO",52,"Goiás",2002,24.4704498685968,12.5324549937,5.3172473838,0.5537668203,5309216,375346,5.7643743964,0.5537668203,375346,5.7643743964,0.0706970671375962,15.4849547363663
"GO",52,"Goiás",2003,23.7259593277869,12.7945643335,4.2387123502,0.5313149,5422815,440458,6.0177352818,0.5313149,440458,6.0177352818,0.081223128578054,15.5061256112822
"GO",52,"Goiás",2004,26.4145040986812,13.1910107165,5.2214174032,0.5354028643,5534201,264659,6.2006758538,0.5354028643,264659,6.2006758538,0.0478224408546057,15.5264577595946
"GO",52,"Goiás",2005,24.8758033701234,13.4691955626,4.1790128838,0.5571046191,5643344,306126,6.3084177411,0.5571046191,306126,6.3084177411,0.0542454969961073,15.5459873555753
"GO",52,"Goiás",2006,24.5866082032437,13.6185075478,3.1026068457,0.5099149728,5750254,215699,6.5153236411,0.5099149728,215699,6.5153236411,0.0375112125481761,15.5647545857109
"GO",52,"Goiás",2007,24.4150907861316,14.5762301837,5.4689181233,0.5239515743,5854898,221676,6.7297506505,0.5239515743,221676,6.7297506505,0.0378616331147016,15.5827891338545
"GO",52,"Goiás",2008,30.0085748561585,15.2081015083,7.9925155636,0.5128250637,5957260,201079,6.8686470024,0.5128250637,201079,6.8686470024,0.0337536048451805,15.600121201789
"GO",52,"Goiás",2009,30.1030591052555,15.138882744,0.9294769165,0.5101138078,6057367,204316,7.047195111,0.5101138078,204316,7.047195111,0.0337301669190591,15.6167857751792
"MA",21,"Maranhão",1990,9.07312733957768,4.5723258956,-1.173381089,0.5630582201,4922472,2199638,2.6313612555,0.5630582201,2199638,2.6313612555,0.446856376227229,15.4093214013127
"MA",21,"Maranhão",1991,9.22873532048312,4.6903436841,4.2014283858,NA,5007534,NA,NA,0.54426953445,1768479.5,2.74748777615,0.353163752857195,15.4264541363143
"MA",21,"Maranhão",1992,8.32792018521488,4.5068794504,-2.6702867853,0.5254808488,5084188,1337321,2.8636142968,0.5254808488,1337321,2.8636142968,0.263035316553991,15.4416458893647
"MA",21,"Maranhão",1993,7.76197805854563,4.7160590429,6.1097455841,0.607226377,5160409,2279318,3.0520460103,0.607226377,2279318,3.0520460103,0.441693284388892,15.4565263978824
"MA",21,"Maranhão",1994,5.98722686183734,4.7580191893,2.2717517827,NA,5236837,NA,NA,0.59323093605,2161340,3.13188305515,0.412718593303553,15.4712282480875
"MA",21,"Maranhão",1995,7.28314576842837,4.7677659129,1.5461132394,0.5792354951,5313223,2043362,3.2117201,0.5792354951,2043362,3.2117201,0.384580507913935,15.4857091770725
"MA",21,"Maranhão",1996,6.68302891721371,4.9082911538,4.3008773375,0.600957533,5389740,1945166,3.3723531667,0.600957533,1945166,3.3723531667,0.360901639040102,15.5000077042449
"MA",21,"Maranhão",1997,6.02404860633248,4.9854113982,2.8849930116,0.6186420898,5466521,2353085,3.3598938931,0.6186420898,2353085,3.3598938931,0.430453848069,15.5141529574298
"MA",21,"Maranhão",1998,4.96562239876331,4.6791766448,-4.919521204,0.6053190208,5543790,2070783,3.5605357207,0.6053190208,2070783,3.5605357207,0.373532006082481,15.5281889403466
"MA",21,"Maranhão",1999,4.61394733529932,4.7300162652,2.8511664425,0.5748698246,5621971,1927049,3.6155512165,0.5748698246,1927049,3.6155512165,0.342771067300063,15.5421928721287
"MA",21,"Maranhão",2000,6.0869065155561,4.8679328291,4.3687527744,NA,5794912,NA,NA,0.573496703,1993020.5,3.87707711975,0.343925930195316,15.5724908491359
"MA",21,"Maranhão",2001,9.3535705510477,4.8849245308,1.7547721142,0.5721235814,5879264,2058992,4.138603023,0.5721235814,2058992,4.138603023,0.350212543610901,15.5869421419724
"MA",21,"Maranhão",2002,9.92541635484451,4.9532974789,2.8153847768,0.5668967113,5964486,1871372,4.1397847524,0.5668967113,1871372,4.1397847524,0.313752433990121,15.6013334404803
"MA",21,"Maranhão",2003,12.9732026751343,5.1004874094,4.4033196999,0.5763211474,6049974,2146171,4.3133174671,0.5763211474,2146171,4.3133174671,0.354740532769232,15.6155645324771
"MA",21,"Maranhão",2004,11.7096668852046,5.4821678176,8.9565652959,0.6091570673,6135099,2199174,4.5942622183,0.6091570673,2199174,4.5942622183,0.358457785277793,15.6295367729163
"MA",21,"Maranhão",2005,14.7951825705781,5.8054251228,7.335494611,0.5209770019,6219144,1753304,4.4976044318,0.5209770019,1753304,4.4976044318,0.281920470083986,15.643142834666
"MA",21,"Maranhão",2006,14.9566427139414,6.0142360476,4.9752855751,0.5946242962,6301445,1704414,4.812553044,0.5946242962,1704414,4.812553044,0.270479866125944,15.656289530141
"MA",21,"Maranhão",2007,17.4139223910528,6.6318847185,9.101151652,0.5552361975,6381473,1525002,5.228577401,0.5552361975,1525002,5.228577401,0.238973353017399,15.6689095064158
"MA",21,"Maranhão",2008,19.712827087419,6.7171584659,4.3736640788,0.5206574389,6458789,1152127,5.3690886591,0.5206574389,1152127,5.3690886591,0.178381272402613,15.6809523968854
"MA",21,"Maranhão",2009,21.8466428494844,6.5372781629,-1.7271681425,0.5383402199,6533027,1188589,5.5723815022,0.5383402199,1188589,5.5723815022,0.18193541829844,15.6923809466783
"MT",51,"Mato Grosso",1990,20.9805061714633,8.1651272805,1.4944242273,0.5615252086,1975816,206825,4.3836260401,0.5615252086,206825,4.3836260401,0.104678269636444,14.4964920355453
"MT",51,"Mato Grosso",1991,22.1977663127759,8.4679240063,7.4732189574,NA,2055048,NA,NA,0.53903362515,254706,4.44173314895,0.123941630560454,14.5358097633039
"MT",51,"Mato Grosso",1992,17.2393588120801,9.3499436256,11.1268235733,0.5165420417,2107140,302587,4.4998402578,0.5165420417,302587,4.4998402578,0.143600804882447,14.5608421357617
"MT",51,"Mato Grosso",1993,16.4101672773957,9.7978389362,7.1259202039,0.5793754455,2158938,223836,4.6071990054,0.5793754455,223836,4.6071990054,0.10367875316475,14.585126992086
"MT",51,"Mato Grosso",1994,14.1090240338493,10.7311011374,11.8888284969,NA,2210877,NA,NA,0.5670840793,219269,4.76790107025,0.0991773852638568,14.6088998273559
"MT",51,"Mato Grosso",1995,25.8898501414321,10.7162379701,1.9510885022,0.5547927131,2262788,214702,4.9286031351,0.5547927131,214702,4.9286031351,0.0948838335716824,14.6321082392729
"MT",51,"Mato Grosso",1996,29.2508560571537,10.8050981975,2.8862213128,0.5738660276,2314787,248405,4.918847825,0.5738660276,248405,4.918847825,0.10731224946399,14.6548282326301
"MT",51,"Mato Grosso",1997,33.1751503699781,11.1684139829,5.422275398,0.6098521076,2366966,189742,5.1646133965,0.6098521076,189742,5.1646133965,0.0801625371889584,14.6771195242189
"MT",51,"Mato Grosso",1998,36.2405549394063,11.680582819,6.5417498588,0.5761558288,2419476,177734,5.3661119393,0.5761558288,177734,5.3661119393,0.0734597078044998,14.6990615457615
"MT",51,"Mato Grosso",1999,34.7283464550493,12.2520741682,7.6581603056,0.5443685469,2472606,171962,5.3076782485,0.5443685469,171962,5.3076782485,0.0695468667470677,14.7207832131475
"MT",51,"Mato Grosso",2000,39.7707511680629,12.9146901893,7.6362241462,NA,2560993,NA,NA,0.55754621335,200824.5,5.3827337325,0.078416653227869,14.7559056318706
"MT",51,"Mato Grosso",2001,38.5075474402381,13.5042678494,6.7431589797,0.5707238798,2611854,229687,5.4577892165,0.5707238798,229687,5.4577892165,0.087940214116103,14.775570871951
"MT",51,"Mato Grosso",2002,36.9713017468718,14.477998524,9.4212633486,0.5740062201,2662431,214223,5.9608577742,0.5740062201,214223,5.9608577742,0.0804614279205733,14.794750173171
"MT",51,"Mato Grosso",2003,35.0392428204489,14.7886696323,4.2298492367,0.5487963872,2712685,216629,6.0142671103,0.5487963872,216629,6.0142671103,0.0798577792850994,14.8134494772701
"MT",51,"Mato Grosso",2004,32.1382858172325,16.828588376,16.068042712,0.5277364595,2762537,129420,6.1252989217,0.5277364595,129420,6.1252989217,0.0468482413086232,14.8316600183836
"MT",51,"Mato Grosso",2005,32.1825451172534,17.3662003581,5.2264749096,0.5225679332,2811904,157887,6.2319390513,0.5225679332,157887,6.2319390513,0.0561494987026584,14.8493723919274
"MT",51,"Mato Grosso",2006,31.4336002031945,16.2597048493,-4.5771485816,0.5297991297,2860741,139258,6.2718958429,0.5297991297,139258,6.2718958429,0.0486789961062536,14.8665912401469
"MT",51,"Mato Grosso",2007,30.4807590638895,18.119014088,11.343140743,0.5155945448,2908961,123191,6.2501751704,0.5155945448,123191,6.2501751704,0.0423487973884834,14.8833065307185
"MT",51,"Mato Grosso",2008,31.8812119608834,18.9830236879,8.5520690342,0.5436293881,2956496,111991,6.8283610559,0.5436293881,111991,6.8283610559,0.0378796385992066,14.899515341291
"MT",51,"Mato Grosso",2009,32.9877804838606,19.1628366298,2.4475503527,0.5044103614,3003310,126634,6.9741677796,0.5044103614,126634,6.9741677796,0.0421648114913212,14.9152255717408
"MS",50,"Mato Grosso do Sul",1990,20.2874146190232,10.6071735598,0.5563154914,0.5862753541,1770532,164858,4.6870385636,0.5862753541,164858,4.6870385636,0.0931121267506038,14.3867906243612
"MS",50,"Mato Grosso do Sul",1991,21.9616900503487,10.9668241536,5.377813918,NA,1807465,NA,NA,0.5857773993,178732,4.7660750204,0.0988854555966506,14.4074358690655
"MS",50,"Mato Grosso do Sul",1992,23.4076438408176,11.0429775113,2.0229986273,0.5852794445,1839382,192606,4.8451114772,0.5852794445,192606,4.8451114772,0.104712343602362,14.4249402036031
"MS",50,"Mato Grosso do Sul",1993,24.8088663321062,11.7353447248,7.9680569682,0.5648302614,1871119,212639,4.9592134416,0.5648302614,212639,4.9592134416,0.113642691886513,14.4420472055854
"MS",50,"Mato Grosso do Sul",1994,27.2074140203204,11.9469484257,3.388272259,NA,1902942,NA,NA,0.5600407562,177336,5.01204164505,0.093190438804756,14.4589116676215
"MS",50,"Mato Grosso do Sul",1995,32.7261910425308,12.3519414617,4.9600392888,0.555251251,1934747,142033,5.0648698485,0.555251251,142033,5.0648698485,0.0734116657113307,14.4754871265436
"MS",50,"Mato Grosso do Sul",1996,37.7107157566503,12.4355813352,2.1762207424,0.5870589738,1966608,189809,5.2834530229,0.5870589738,189809,5.2834530229,0.0965159299667244,14.4918207892544
"MS",50,"Mato Grosso do Sul",1997,37.3617133043323,12.8131525579,4.5429915134,0.5760269516,1998578,167924,5.2643162598,0.5760269516,167924,5.2643162598,0.0840217394567538,14.5079464856438
"MS",50,"Mato Grosso do Sul",1998,33.423900243453,12.9803328071,2.7784103241,0.5410454436,2030751,120201,5.5790695399,0.5410454436,120201,5.5790695399,0.0591904177321592,14.523916233342
"MS",50,"Mato Grosso do Sul",1999,28.2242226989859,12.8476355712,0.9224695715,0.556348226,2063304,179416,5.642688329,0.556348226,179416,5.642688329,0.0869556788529465,14.5398191394134
"MS",50,"Mato Grosso do Sul",2000,30.9913229108328,12.953411262,2.4220127368,NA,2125821,NA,NA,0.56345561195,176629.5,5.75717106585,0.0830876635426972,14.5696686386668
"MS",50,"Mato Grosso do Sul",2001,29.3221792205638,13.5571329513,6.3045441996,0.5705629979,2163050,173843,5.8716538027,0.5705629979,173843,5.8716538027,0.0803693858209473,14.5870298207106
"MS",50,"Mato Grosso do Sul",2002,32.4205136829656,13.7414733452,2.943748562,0.562998711,2200183,139992,6.1552466904,0.562998711,139992,6.1552466904,0.0636274346270287,14.6040510966873
"MS",50,"Mato Grosso do Sul",2003,32.6772684200198,14.5624867303,7.6213857874,0.5456844407,2237147,143817,6.0840442338,0.5456844407,143817,6.0840442338,0.0642858962777144,14.6207119513218
"MS",50,"Mato Grosso do Sul",2004,29.5637303060259,14.159400346,-1.2809309438,0.5357311946,2273874,142532,6.1908385572,0.5357311946,142532,6.1908385572,0.0626824529415438,14.6369955427865
"MS",50,"Mato Grosso do Sul",2005,27.7684553000953,14.4079654448,3.295744034,0.5325427111,2310307,146682,6.4363445724,0.5325427111,146682,6.4363445724,0.0634902634152085,14.6528909741004
"MS",50,"Mato Grosso do Sul",2006,29.541865791031,14.9310674511,5.1643264996,0.5327964536,2346398,104966,6.5916506516,0.5327964536,104966,6.5916506516,0.044734951189014,14.6683919442754
"MS",50,"Mato Grosso do Sul",2007,30.0220978101996,16.1977742768,6.9651035272,0.5657565048,2382080,74963,6.7411593563,0.5657565048,74963,6.7411593563,0.0314695560182697,14.6834846135559
"MS",50,"Mato Grosso do Sul",2008,29.5798376967178,16.7095787447,6.3578764679,0.5290127954,2417300,72283,6.9266351422,0.5290127954,72283,6.9266351422,0.029902370413271,14.6981617727942
"MS",50,"Mato Grosso do Sul",2009,30.8429195983902,16.6066032207,0.4234938495,0.5211886057,2452039,63147,6.9380209398,0.5211886057,63147,6.9380209398,0.0257528530337405,14.7124304812951
"MG",31,"Minas Gerais",1990,7.45290326042072,12.4777359411,-2.1506979878,0.6064350926,15777299,2210150,4.6384368533,0.6064350926,2210150,4.6384368533,0.140084180441785,16.5740826926985
"MG",31,"Minas Gerais",1991,7.69223342314068,12.6344220477,2.5253375805,NA,15993315,NA,NA,0.58696988735,2307054,4.6214583567,0.144251144931492,16.5876813803961
"MG",31,"Minas Gerais",1992,6.93200034465353,12.1869337542,-2.0939579433,0.5675046821,16220463,2403958,4.6044798601,0.5675046821,2403958,4.6044798601,0.148205263931122,16.6017841512503
"MG",31,"Minas Gerais",1993,7.42653843468741,12.537891794,4.2297129217,0.589791308,16446328,2219831,4.7419395807,0.589791308,2219831,4.7419395807,0.134974262947936,16.6156127883734
"MG",31,"Minas Gerais",1994,6.7065449876913,13.0659221387,5.5474819339,NA,16672808,NA,NA,0.58902520955,1926931,4.8306056658,0.115573273560159,16.6292896868522
"MG",31,"Minas Gerais",1995,7.1855397858102,13.3125449715,3.1649823652,0.5882591111,16899162,1634031,4.9192717509,0.5882591111,1634031,4.9192717509,0.0966930194526806,16.6427745928651
"MG",31,"Minas Gerais",1996,7.34737860225792,13.6359269461,3.6916219769,0.5702230883,17125905,1652971,5.0924924031,0.5702230883,1652971,5.0924924031,0.0965187533155182,16.6561027874316
"MG",31,"Minas Gerais",1997,7.73148247834533,13.8759851664,2.9954154843,0.584596552,17353430,1699330,5.107901568,0.584596552,1699330,5.107901568,0.0979247330354863,16.6693007393426
"MG",31,"Minas Gerais",1998,8.59635700424923,13.6719908182,-0.2657602928,0.5695360844,17582401,1649290,5.1952921342,0.5695360844,1649290,5.1952921342,0.0938034572183856,16.6824090165499
"MG",31,"Minas Gerais",1999,8.93844929467553,13.462326131,0.0815810721,0.5642385684,17814076,1682249,5.3420950899,0.5642385684,1682249,5.3420950899,0.0944336938946483,16.6954994892723
"MG",31,"Minas Gerais",2000,11.4691372336007,13.9649989486,5.1114478946,NA,18178042,NA,NA,0.56222798575,1676843,5.51099398525,0.0922455234727701,16.7157249401434
"MG",31,"Minas Gerais",2001,12.9254531797465,13.7672527415,-0.1159895625,0.5602174031,18402608,1671437,5.6798928806,0.5602174031,1671437,5.6798928806,0.0908260937797512,16.7280029516656
"MG",31,"Minas Gerais",2002,16.2291660738188,14.0955203332,3.7311496399,0.5606709296,18620721,1541674,5.7922972297,0.5606709296,1541674,5.7922972297,0.0827934643347054,16.739785550868
"MG",31,"Minas Gerais",2003,20.6000700143727,14.1062405118,1.3880848718,0.550412936,18832431,1572255,5.9328949874,0.550412936,1572255,5.9328949874,0.083486566338674,16.7510909947963
"MG",31,"Minas Gerais",2004,22.6037120507747,14.7431451499,5.8669556736,0.5422071579,19037702,1174461,6.096839822,0.5422071579,1174461,6.096839822,0.0616913217782272,16.7619318867662
"MG",31,"Minas Gerais",2005,21.8740191649246,15.1329842512,3.961350233,0.5271753417,19236503,955329,6.1910951685,0.5271753417,955329,6.1910951685,0.0496623008870167,16.7723202299253
"MG",31,"Minas Gerais",2006,21.3303768900499,15.5257408335,3.885478117,0.5276010192,19428834,757696,6.4475364132,0.5276010192,757696,6.4475364132,0.0389985317698427,16.7822688092596
"MG",31,"Minas Gerais",2007,20.8070424460177,16.5714939267,5.6078172944,0.5169030123,19614742,737251,6.6307131549,0.5169030123,737251,6.6307131549,0.0375865764637638,16.7917919843402
"MG",31,"Minas Gerais",2008,19.4911131808507,16.9236826896,5.1801998883,0.5145675098,19794278,657833,6.7563190911,0.5145675098,657833,6.7563190911,0.0332334930326835,16.8009034640001
"MG",31,"Minas Gerais",2009,18.1191358639658,16.1034964767,-3.9663211882,0.5125340206,19967560,624043,6.934889354,0.5125340206,624043,6.934889354,0.0312528421099023,16.8096195146521
"PA",15,"Pará",1990,15.464657733996,8.4821575676,4.9795400498,0.5986979108,4884045,496823,5.1187221058,0.5986979108,496823,5.1187221058,0.101723673717175,15.4014843279295
"PA",15,"Pará",1991,16.4038415696044,8.0911996334,-2.1320787608,NA,5016290,NA,NA,0.5737739807,623066,5.0637323903,0.124208528613776,15.4282011746157
"PA",15,"Pará",1992,15.0840072308261,8.2038885338,3.4265163103,0.5488500506,5152286,749309,5.0087426748,0.5488500506,749309,5.0087426748,0.145432338189301,15.4549510576479
"PA",15,"Pará",1993,11.9704628828397,8.545594649,7.0244456837,0.5885926006,5287514,645074,4.9841508357,0.5885926006,645074,4.9841508357,0.121999487850056,15.4808587500873
"PA",15,"Pará",1994,13.4279667413994,8.2204471075,-1.5975612391,NA,5423111,NA,NA,0.575267692,558192.5,5.0512295371,0.102928466704812,15.5061801939892
"PA",15,"Pará",1995,12.7556053544109,8.0443212367,0.0317414039,0.5619427834,5558632,471311,5.1183082385,0.5619427834,471311,5.1183082385,0.0847890272282821,15.5308625927877
"PA",15,"Pará",1996,12.4844647349342,7.8957405813,0.2764998361,0.5794039397,5694386,628116,5.3020279372,0.5794039397,628116,5.3020279372,0.110304429661073,15.5549913351793
"PA",15,"Pará",1997,13.2018854982407,7.9610384867,2.9552756812,0.5730883461,5830609,622747,5.3288894826,0.5730883461,622747,5.3288894826,0.106806510263336,15.5786320125624
"PA",15,"Pará",1998,13.3311351695622,7.9858188534,2.2579815852,0.5646266882,5967696,558612,5.3006725514,0.5646266882,558612,5.3006725514,0.0936059745670691,15.6018714812305
"PA",15,"Pará",1999,10.8214389523919,7.9105342352,1.8124169739,0.555816768,6106403,641123,5.4814417615,0.555816768,641123,5.4814417615,0.104991924050869,15.6248484507541
"PA",15,"Pará",2000,13.0161505235406,8.102147888,4.7029643563,NA,6386876,NA,NA,0.5535895093,719202,5.7186754347,0.112606225641456,15.6697558179197
"PA",15,"Pará",2001,15.0590274454244,8.205703675,3.497954762,0.5513622506,6516683,797281,5.9559091079,0.5513622506,797281,5.9559091079,0.122344603842169,15.6898760621183
"PA",15,"Pará",2002,18.3770578702201,8.3237699665,3.6376466489,0.5589998474,6646479,773518,6.0619292657,0.5589998474,773518,6.0619292657,0.116380116449627,15.7095977987271
"PA",15,"Pará",2003,21.0342525235798,8.6732524335,6.4309940835,0.5187360149,6775865,850106,6.0882481463,0.5187360149,850106,6.0882481463,0.125460882116158,15.728877591857
"PA",15,"Pará",2004,22.7301917281256,9.082296437,7.2329632686,0.5354433541,6904392,1188891,5.4162696624,0.5354433541,1188891,5.4162696624,0.172193438611249,15.7476682888126
"PA",15,"Pará",2005,27.6303687879518,9.2989237826,4.1847750108,0.5155501068,7031660,1119429,5.6255333337,0.5155501068,1119429,5.6255333337,0.159198396964586,15.7659333667801
"PA",15,"Pará",2006,29.1260961664663,9.7624034193,7.0909510901,0.5050871744,7157305,924569,5.7450562603,0.5050871744,924569,5.7450562603,0.129178370909162,15.7836440714338
"PA",15,"Pará",2007,30.4034219575684,10.0445236463,2.2402681554,0.5224446187,7281011,820763,5.9178110734,0.5224446187,820763,5.9178110734,0.112726515589662,15.8007802841572
"PA",15,"Pará",2008,39.1723382102459,10.1724005309,4.9412851617,0.4963187275,7402515,690379,6.0924128149,0.4963187275,690379,6.0924128149,0.0932627627232096,15.8173303652983
"PA",15,"Pará",2009,40.2769948382826,9.69913302,-3.2260498046,0.5088832228,7521656,804484,6.1880191811,0.5088832228,804484,6.1880191811,0.106955702308109,15.8332968844487
"PB",25,"Paraíba",1990,13.7079237181048,5.1218901441,2.8605882071,0.6554818567,3212822,1436968,3.5469867345,0.6554818567,1436968,3.5469867345,0.44726038355066,14.9826602366256
"PB",25,"Paraíba",1991,12.4331717021049,5.1968029581,2.6033472603,NA,3256238,NA,NA,0.6228636645,1394765,3.58348362535,0.428336319396801,14.9960830992563
"PB",25,"Paraíba",1992,10.589877940016,5.0691862614,-2.2004935073,0.5902454723,3280306,1352562,3.6199805162,0.5902454723,1352562,3.6199805162,0.41232799622962,15.0034472686918
"PB",25,"Paraíba",1993,10.9027341736297,4.8743989684,-3.1365456142,0.6489413431,3304238,1367204,4.2640140786,0.6489413431,1367204,4.2640140786,0.413772857766299,15.010716444927
"PB",25,"Paraíba",1994,11.730815279558,5.4668042546,12.9626075812,NA,3328236,NA,NA,0.6319895794,1130302,4.12210078425,0.339609931507261,15.0179529918705
"PB",25,"Paraíba",1995,13.3534573328606,5.6459252883,4.0093111539,0.6150378157,3352220,893400,3.9801874899,0.6150378157,893400,3.9801874899,0.266509954597252,15.0251333708886
"PB",25,"Paraíba",1996,18.9374688409118,5.7548904202,2.6448107115,0.5991280559,3376245,953192,4.0387602314,0.5991280559,953192,4.0387602314,0.28232311339965,15.0322747031549
"PB",25,"Paraíba",1997,14.7370708465852,5.8903517058,3.0643319448,0.6327615144,3400354,1038014,4.3826130384,0.6327615144,1038014,4.3826130384,0.305266451669444,15.0393901018136
"PB",25,"Paraíba",1998,12.4940027296032,5.7130011292,-2.2899913249,0.6402407167,3424615,919663,4.5945630699,0.6402407167,919663,4.5945630699,0.268544931328047,15.046499614601
"PB",25,"Paraíba",1999,11.9682426827782,5.8164788276,2.7826457164,0.6560354726,3449163,998988,4.8925946866,0.6560354726,998988,4.8925946866,0.28963200637372,15.0536421508776
"PB",25,"Paraíba",2000,15.0704521861654,6.0239753113,4.3728000641,NA,3472839,NA,NA,0.62600038815,1037869,4.58494966135,0.298853186110845,15.0604829730358
"PB",25,"Paraíba",2001,14.1270058185937,6.0270502339,0.8279060624,0.5959653037,3507296,1076750,4.2773046361,0.5959653037,1076750,4.2773046361,0.30700288769468,15.0703559281839
"PB",25,"Paraíba",2002,17.3964546139903,6.2655807978,4.7671405188,0.6005286308,3542012,922176,4.4407935439,0.6005286308,922176,4.4407935439,0.260353719863174,15.0802054852356
"PB",25,"Paraíba",2003,17.6206095196291,6.5456670459,5.2853546334,0.5678160705,3576975,970155,4.6023378839,0.5678160705,970155,4.6023378839,0.271222191935924,15.0900280291197
"PB",25,"Paraíba",2004,18.6044305646781,6.6760670753,2.7814350792,0.5945068873,3612078,966606,4.7835276258,0.5945068873,966606,4.7835276258,0.26760385573069,15.0997937879702
"PB",25,"Paraíba",2005,20.5792846140066,6.8883419829,3.9758497382,0.5805155872,3647204,758278,4.951982141,0.5805155872,758278,4.951982141,0.207906659457491,15.1094714046125
"PB",25,"Paraíba",2006,22.6043401437033,7.2944383489,6.7002282849,0.564954892,3682222,576461,5.0298748112,0.564954892,576461,5.0298748112,0.156552483799184,15.1190269322764
"PB",25,"Paraíba",2007,23.5604819488395,7.4184344128,2.2102211014,0.5981170247,3717022,653122,5.1883974256,0.5981170247,653122,5.1883974256,0.175711093450617,15.1284333680136
"PB",25,"Paraíba",2008,27.2537371018959,7.6165583244,5.5242573506,0.5848524913,3751507,585161,5.4659311641,0.5848524913,585161,5.4659311641,0.155980250070172,15.1376681838865
"PB",25,"Paraíba",2009,33.554786079621,7.6853051918,1.640625427,0.5913640742,3785598,549539,5.5962283176,0.5913640742,549539,5.5962283176,0.14516570433522,15.1467144244482
"PR",41,"Paraná",1990,14.0651833415223,12.993189728,-0.0757871888,0.5846688077,8510008,1510054,4.5724241148,0.5846688077,1510054,4.5724241148,0.177444486538673,15.9567534406196
"PR",41,"Paraná",1991,14.5110858896401,12.8845377037,-0.032257103,NA,8583803,NA,NA,0.56655782485,1502664.5,4.7083855337,0.175058129828935,15.9653876133555
